City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
567,lobujya,27.95,86.8167,-5.79,88,100,0.88,NP,1715130999
568,gobabis,-22.45,18.9667,18.5,39,5,4.92,NA,1715130999
569,naze,28.3667,129.4833,22.51,54,36,3.01,JP,1715130999
570,morondava,-20.2833,44.2833,22.44,64,0,4.35,MG,1715130999
571,zaysan,47.4667,84.8667,18.77,50,60,1.4,KZ,1715131000
572,newnham,-41.3833,147.1333,15.93,67,40,6.17,AU,1715131000
573,tofol,5.3248,163.0078,30.88,74,75,3.6,FM,1715131000
574,coaldale,49.7167,-112.6185,5.82,93,100,16.46,CA,1715130764
575,huangshan,29.7114,118.3125,22.83,70,2,1.04,CN,1715131000
576,mangrol,21.1167,70.1167,26.88,87,0,4.39,IN,1715131000
577,topki,55.2769,85.6163,12.89,69,84,3.33,RU,1715131001
578,murzuq,25.9155,13.9184,27.5,18,25,3.74,LY,1715131001
579,barra da estiva,-13.6261,-41.3269,17.0,84,5,1.87,BR,1715131001
580,villa avila camacho,20.3819,-97.8792,32.24,58,56,1.4,MX,1715131001
581,alofi,-19.0595,-169.9187,26.94,89,75,5.14,NU,1715131001
582,okhotsk,59.3833,143.3,1.48,80,100,4.67,RU,1715131002
